id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
347,TRD00347,47,7,BOND,BUY,247,73.5,2026-06-07,MATCHED
348,TRD00348,48,8,ETF,SELL,248,74.0,2026-06-08,MATCHED
349,TRD00349,49,9,FX,BUY,249,74.5,2026-06-09,MATCHED
350,TRD00350,50,10,COMMODITY,SELL,250,75.0,2026-06-10,UNMATCHED
351,TRD00351,1,1,EQUITY,BUY,251,75.5,2026-06-11,MATCHED
352,TRD00352,2,2,BOND,SELL,252,76.0,2026-06-12,MATCHED
353,TRD00353,3,3,ETF,BUY,253,76.5,2026-06-13,MATCHED
354,TRD00354,4,4,FX,SELL,254,77.0,2026-06-14,MATCHED
355,TRD00355,5,5,COMMODITY,BUY,255,77.5,2026-06-15,UNMATCHED
356,TRD00356,6,6,EQUITY,SELL,256,78.0,2026-06-16,MATCHED
357,TRD00357,7,7,BOND,BUY,257,78.5,2026-06-17,MATCHED
358,TRD00358,8,8,ETF,SELL,258,79.0,2026-06-18,MATCHED
359,TRD00359,9,9,FX,BUY,259,79.5,2026-06-19,MATCHED
360,TRD00360,10,10,COMMODITY,SELL,260,80.0,2026-06-20,UNMATCHED
361,TRD00361,11,1,EQUITY,BUY,261,80.5,2026-06-21,MATCHED
362,TRD00362,12,2,BOND,SELL,262,81.0,2026-06-22,MATCHED
363,TRD00363,13,3,ETF,BUY,263,81.5,2026-06-23,MATCHED
364,TRD00364,14,4,FX,SELL,264,82.0,2026-06-24,MATCHED
365,TRD00365,15,5,COMMODITY,BUY,265,82.5,2026-06-25,UNMATCHED
366,TRD00366,16,6,EQUITY,SELL,266,83.0,2026-06-26,MATCHED
367,TRD00367,17,7,BOND,BUY,267,83.5,2026-06-27,MATCHED
368,TRD00368,18,8,ETF,SELL,268,84.0,2026-06-28,MATCHED
369,TRD00369,19,9,FX,BUY,269,84.5,2026-06-29,MATCHED
370,TRD00370,20,10,COMMODITY,SELL,270,85.0,2026-06-30,UNMATCHED
371,TRD00371,21,1,EQUITY,BUY,271,85.5,2026-06-01,MATCHED
372,TRD00372,22,2,BOND,SELL,272,86.0,2026-06-02,MATCHED
373,TRD00373,23,3,ETF,BUY,273,86.5,2026-06-03,MATCHED
374,TRD00374,24,4,FX,SELL,274,87.0,2026-06-04,MATCHED
375,TRD00375,25,5,COMMODITY,BUY,275,50.0,2026-06-05,UNMATCHED
376,TRD00376,1,1,EQUITY,SELL,276,50.5,2026-07-01,MATCHED
377,TRD00377,2,2,BOND,BUY,277,51.0,2026-07-02,MATCHED
378,TRD00378,3,3,ETF,SELL,278,51.5,2026-07-03,MATCHED
379,TRD00379,4,4,FX,BUY,279,52.0,2026-07-04,MATCHED
380,TRD00380,5,5,COMMODITY,SELL,280,52.5,2026-07-05,UNMATCHED
381,TRD00381,6,6,EQUITY,BUY,281,53.0,2026-07-06,MATCHED
382,TRD00382,7,7,BOND,SELL,282,53.5,2026-07-07,MATCHED
383,TRD00383,8,8,ETF,BUY,283,54.0,2026-07-08,MATCHED
384,TRD00384,9,9,FX,SELL,284,54.5,2026-07-09,MATCHED
385,TRD00385,10,10,COMMODITY,BUY,285,55.0,2026-07-10,UNMATCHED
386,TRD00386,11,1,EQUITY,SELL,286,55.5,2026-07-11,MATCHED
387,TRD00387,12,2,BOND,BUY,287,56.0,2026-07-12,MATCHED
388,TRD00388,13,3,ETF,SELL,288,56.5,2026-07-13,MATCHED
389,TRD00389,14,4,FX,BUY,289,57.0,2026-07-14,MATCHED
390,TRD00390,15,5,COMMODITY,SELL,290,57.5,2026-07-15,UNMATCHED
391,TRD00391,16,6,EQUITY,BUY,291,58.0,2026-07-16,MATCHED
392,TRD00392,17,7,BOND,SELL,292,58.5,2026-07-17,MATCHED
393,TRD00393,18,8,ETF,BUY,293,59.0,2026-07-18,MATCHED
394,TRD00394,19,9,FX,SELL,294,59.5,2026-07-19,MATCHED
395,TRD00395,20,10,COMMODITY,BUY,295,60.0,2026-07-20,UNMATCHED
396,TRD00396,21,1,EQUITY,SELL,296,60.5,2026-07-21,MATCHED
397,TRD00397,22,2,BOND,BUY,297,61.0,2026-07-22,MATCHED
398,TRD00398,23,3,ETF,SELL,298,61.5,2026-07-23,MATCHED
399,TRD00399,24,4,FX,BUY,299,62.0,2026-07-24,MATCHED
400,TRD00400,25,5,COMMODITY,SELL,100,62.5,2026-07-25,UNMATCHED
401,TRD00401,26,6,EQUITY,BUY,101,63.0,2026-07-26,MATCHED
402,TRD00402,27,7,BOND,SELL,102,63.5,2026-07-27,MATCHED
403,TRD00403,28,8,ETF,BUY,103,64.0,2026-07-28,MATCHED
404,TRD00404,29,9,FX,SELL,104,64.5,2026-07-29,MATCHED
405,TRD00405,30,10,COMMODITY,BUY,105,65.0,2026-07-30,UNMATCHED
406,TRD00406,31,1,EQUITY,SELL,106,65.5,2026-07-31,MATCHED
407,TRD00407,32,2,BOND,BUY,107,66.0,2026-07-01,MATCHED
408,TRD00408,33,3,ETF,SELL,108,66.5,2026-07-02,MATCHED
409,TRD00409,34,4,FX,BUY,109,67.0,2026-07-03,MATCHED
410,TRD00410,35,5,COMMODITY,SELL,110,67.5,2026-07-04,UNMATCHED
411,TRD00411,36,6,EQUITY,BUY,111,68.0,2026-07-05,MATCHED
412,TRD00412,37,7,BOND,SELL,112,68.5,2026-07-06,MATCHED
413,TRD00413,38,8,ETF,BUY,113,69.0,2026-07-07,MATCHED
414,TRD00414,39,9,FX,SELL,114,69.5,2026-07-08,MATCHED
415,TRD00415,40,10,COMMODITY,BUY,115,70.0,2026-07-09,UNMATCHED
416,TRD00416,41,1,EQUITY,SELL,116,70.5,2026-07-10,MATCHED
417,TRD00417,42,2,BOND,BUY,117,71.0,2026-07-11,MATCHED
418,TRD00418,43,3,ETF,SELL,118,71.5,2026-07-12,MATCHED
419,TRD00419,44,4,FX,BUY,119,72.0,2026-07-13,MATCHED
420,TRD00420,45,5,COMMODITY,SELL,120,72.5,2026-07-14,UNMATCHED
421,TRD00421,46,6,EQUITY,BUY,121,73.0,2026-07-15,MATCHED
422,TRD00422,47,7,BOND,SELL,122,73.5,2026-07-16,MATCHED
423,TRD00423,48,8,ETF,BUY,123,74.0,2026-07-17,MATCHED
424,TRD00424,49,9,FX,SELL,124,74.5,2026-07-18,MATCHED
425,TRD00425,50,10,COMMODITY,BUY,125,75.0,2026-07-19,UNMATCHED
426,TRD00426,1,1,EQUITY,SELL,126,75.5,2026-07-20,MATCHED
427,TRD00427,2,2,BOND,BUY,127,76.0,2026-07-21,MATCHED
428,TRD00428,3,3,ETF,SELL,128,76.5,2026-07-22,MATCHED
429,TRD00429,4,4,FX,BUY,129,77.0,2026-07-23,MATCHED
430,TRD00430,5,5,COMMODITY,SELL,130,77.5,2026-07-24,UNMATCHED
431,TRD00431,6,6,EQUITY,BUY,131,78.0,2026-07-25,MATCHED
432,TRD00432,7,7,BOND,SELL,132,78.5,2026-07-26,MATCHED
433,TRD00433,8,8,ETF,BUY,133,79.0,2026-07-27,MATCHED
434,TRD00434,9,9,FX,SELL,134,79.5,2026-07-28,MATCHED
435,TRD00435,10,10,COMMODITY,BUY,135,80.0,2026-07-29,UNMATCHED
436,TRD00436,11,1,EQUITY,SELL,136,80.5,2026-07-30,MATCHED
437,TRD00437,12,2,BOND,BUY,137,81.0,2026-07-31,MATCHED
438,TRD00438,13,3,ETF,SELL,138,81.5,2026-07-01,MATCHED
439,TRD00439,14,4,FX,BUY,139,82.0,2026-07-02,MATCHED
440,TRD00440,15,5,COMMODITY,SELL,140,82.5,2026-07-03,UNMATCHED
441,TRD00441,16,6,EQUITY,BUY,141,83.0,2026-07-04,MATCHED
442,TRD00442,17,7,BOND,SELL,142,83.5,2026-07-05,MATCHED
443,TRD00443,18,8,ETF,BUY,143,84.0,2026-07-06,MATCHED
444,TRD00444,19,9,FX,SELL,144,84.5,2026-07-07,MATCHED
445,TRD00445,20,10,COMMODITY,BUY,145,85.0,2026-07-08,UNMATCHED
446,TRD00446,21,1,EQUITY,SELL,146,85.5,2026-07-09,MATCHED
447,TRD00447,22,2,BOND,BUY,147,86.0,2026-07-10,MATCHED
448,TRD00448,23,3,ETF,SELL,148,86.5,2026-07-11,MATCHED
449,TRD00449,24,4,FX,BUY,149,87.0,2026-07-12,MATCHED
450,TRD00450,25,5,COMMODITY,SELL,150,50.0,2026-07-13,UNMATCHED
451,TRD00451,26,6,EQUITY,BUY,151,50.5,2026-07-14,MATCHED
452,TRD00452,27,7,BOND,SELL,152,51.0,2026-07-15,MATCHED
453,TRD00453,28,8,ETF,BUY,153,51.5,2026-07-16,MATCHED
454,TRD00454,29,9,FX,SELL,154,52.0,2026-07-17,MATCHED
455,TRD00455,30,10,COMMODITY,BUY,155,52.5,2026-07-18,UNMATCHED
456,TRD00456,31,1,EQUITY,SELL,156,53.0,2026-07-19,MATCHED
457,TRD00457,32,2,BOND,BUY,157,53.5,2026-07-20,MATCHED
458,TRD00458,33,3,ETF,SELL,158,54.0,2026-07-21,MATCHED
459,TRD00459,34,4,FX,BUY,159,54.5,2026-07-22,MATCHED
460,TRD00460,35,5,COMMODITY,SELL,160,55.0,2026-07-23,UNMATCHED
461,TRD00461,36,6,EQUITY,BUY,161,55.5,2026-07-24,MATCHED
462,TRD00462,37,7,BOND,SELL,162,56.0,2026-07-25,MATCHED
463,TRD00463,38,8,ETF,BUY,163,56.5,2026-07-26,MATCHED
464,TRD00464,39,9,FX,SELL,164,57.0,2026-07-27,MATCHED
465,TRD00465,40,10,COMMODITY,BUY,165,57.5,2026-07-28,UNMATCHED
466,TRD00466,41,1,EQUITY,SELL,166,58.0,2026-07-29,MATCHED
467,TRD00467,42,2,BOND,BUY,167,58.5,2026-07-30,MATCHED
468,TRD00468,43,3,ETF,SELL,168,59.0,2026-07-31,MATCHED
469,TRD00469,44,4,FX,BUY,169,59.5,2026-07-01,MATCHED
470,TRD00470,45,5,COMMODITY,SELL,170,60.0,2026-07-02,UNMATCHED
471,TRD00471,46,6,EQUITY,BUY,171,60.5,2026-07-03,MATCHED
472,TRD00472,47,7,BOND,SELL,172,61.0,2026-07-04,MATCHED
473,TRD00473,48,8,ETF,BUY,173,61.5,2026-07-05,MATCHED
474,TRD00474,49,9,FX,SELL,174,62.0,2026-07-06,MATCHED
475,TRD00475,50,10,COMMODITY,BUY,175,62.5,2026-07-07,UNMATCHED
476,TRD00476,1,1,EQUITY,SELL,176,63.0,2026-07-08,MATCHED
477,TRD00477,2,2,BOND,BUY,177,63.5,2026-07-09,MATCHED
478,TRD00478,3,3,ETF,SELL,178,64.0,2026-07-10,MATCHED
479,TRD00479,4,4,FX,BUY,179,64.5,2026-07-11,MATCHED
480,TRD00480,5,5,COMMODITY,SELL,180,65.0,2026-07-12,UNMATCHED
481,TRD00481,6,6,EQUITY,BUY,181,65.5,2026-07-13,MATCHED
482,TRD00482,7,7,BOND,SELL,182,66.0,2026-07-14,MATCHED
483,TRD00483,8,8,ETF,BUY,183,66.5,2026-07-15,MATCHED
484,TRD00484,9,9,FX,SELL,184,67.0,2026-07-16,MATCHED
485,TRD00485,10,10,COMMODITY,BUY,185,67.5,2026-07-17,UNMATCHED
486,TRD00486,11,1,EQUITY,SELL,186,68.0,2026-07-18,MATCHED
487,TRD00487,12,2,BOND,BUY,187,68.5,2026-07-19,MATCHED
488,TRD00488,13,3,ETF,SELL,188,69.0,2026-07-20,MATCHED
489,TRD00489,14,4,FX,BUY,189,69.5,2026-07-21,MATCHED
490,TRD00490,15,5,COMMODITY,SELL,190,70.0,2026-07-22,UNMATCHED
491,TRD00491,16,6,EQUITY,BUY,191,70.5,2026-07-23,MATCHED
492,TRD00492,17,7,BOND,SELL,192,71.0,2026-07-24,MATCHED
493,TRD00493,18,8,ETF,BUY,193,71.5,2026-07-25,MATCHED
494,TRD00494,19,9,FX,SELL,194,72.0,2026-07-26,MATCHED
495,TRD00495,20,10,COMMODITY,BUY,195,72.5,2026-07-27,UNMATCHED
496,TRD00496,21,1,EQUITY,SELL,196,73.0,2026-07-28,MATCHED
497,TRD00497,22,2,BOND,BUY,197,73.5,2026-07-29,MATCHED
498,TRD00498,23,3,ETF,SELL,198,74.0,2026-07-30,MATCHED
499,TRD00499,24,4,FX,BUY,199,74.5,2026-07-31,MATCHED
500,TRD00500,25,5,COMMODITY,SELL,200,75.0,2026-07-01,UNMATCHED
